Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Age (product.metafields.custom.age),Brand (product.metafields.custom.brand),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
eg13539svjws,Silver Earrings,Sterling Silver 925 Hoops<br>Twisted 15mm with White Sapphire<br>Sapphire Carat Weight: 0.41ct<br>S1946844 #5,Gabriel & Co,Apparel & Accessories > Jewelry > Earrings,Earrings,"Anniversary, Birthday, Category 645, Everyday, For Her, For Mom, Gift, Helios Migrated, Hoop, Round, Stackable",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,EG13539SVJWS,0.0,shopify,0,deny,manual,445.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG13539SVJWS-1.jpg,1,Silver Earrings,false,Silver Earrings,,509,Gabriel & Co.,,,,,,,,,,g,,143.00,active
eg13539svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/EG13539SVJWS-2.jpg,2,Silver Earrings,,,,,,,,,,,,,,,,,,
pcm6578svjjj,Silver Charms/Pendants,Contemporary Collection<br>925 Sterling Silver<br>Geometric Cross Pendant<br>S2149552 #4,Gabriel & Co,Apparel & Accessories > Jewelry > Charms & Pendants,Charms,"Anniversary, Birthday, Category 640, Everyday, For Dad, For Him, Gift, Helios Migrated, Statement",true,Material,Sterling Silver,,Metal Color,Silver,,,,,PCM6578SVJJJ,0.0,shopify,0,deny,manual,250.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PCM6578SVJJJ-5.jpg,1,Silver Charms/Pendants,false,Silver Charms/Pendants,,173,Gabriel & Co.,,,,,,,,,,g,,86.00,active
pcm6578svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PCM6578SVJJJ-2.jpg,2,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pcm6578svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PCM6578SVJJJ-1.jpg,3,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pcm6578svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PCM6578SVJJJ-3.jpg,4,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pcm6578svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PCM6578SVJJJ-4.jpg,5,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6638svjmc,Silver Charms/Pendants,925 SS W SAPP &amp; MOP CHARM S1973378 #69,Gabriel & Co,Apparel & Accessories > Jewelry > Charms & Pendants,Charms,"Anniversary, Birthday, Category 640, Everyday, For Her, For Mom, Gift, Helios Migrated, Round, Stackable, Statement",true,Material,Sterling Silver,,Stone Type,"Birthstone, Pearls",,Metal Color,Unknown,,PT6638SVJMC,0.0,shopify,0,deny,manual,330.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6638SVJMC-2.jpg,1,Silver Charms/Pendants,false,Silver Charms/Pendants,,483,Gabriel & Co.,,,,,,,,,,g,,114.00,active
pt6638svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6638SVJMC-1.jpg,2,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6638svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6638SVJMC-3.jpg,3,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6638svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6638SVJMC-4.jpg,4,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6636svjmc,Silver Charms/Pendants,925 SS 24mm B Topaz &amp; W Sapp Charm S1973390 #58,Gabriel & Co,Apparel & Accessories > Jewelry > Charms & Pendants,Charms,"Anniversary, Birthday, Category 640, Everyday, For Her, For Mom, Gift, Helios Migrated, Round, Stackable, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Unknown,,PT6636SVJMC,0.0,shopify,0,deny,manual,320.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6636SVJMC-1.jpg,1,Silver Charms/Pendants,false,Silver Charms/Pendants,,483,Gabriel & Co.,,,,,,,,,,g,,107.00,active
pt6636svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6636SVJMC-2.jpg,2,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6636svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6636SVJMC-3.jpg,3,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6636svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6636SVJMC-4.jpg,4,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6639svjmc,Silver Charms/Pendants,925 SS 24MM BLUE &amp; WHITE SAPP CHARM S1973409 #57,Gabriel & Co,Apparel & Accessories > Jewelry > Charms & Pendants,Charms,"Anniversary, Birthday, Category 640, Everyday, For Her, For Mom, Gift, Helios Migrated, Round, Stackable, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Unknown,,PT6639SVJMC,0.0,shopify,0,deny,manual,675.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6639SVJMC-2.jpg,1,Silver Charms/Pendants,false,Silver Charms/Pendants,,483,Gabriel & Co.,,,,,,,,,,g,,171.00,active
pt6639svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6639SVJMC-1.jpg,2,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6639svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6639SVJMC-3.jpg,3,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6639svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6639SVJMC-4.jpg,4,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
pt6639svjmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/PT6639SVJMC-5.jpg,5,Silver Charms/Pendants,,,,,,,,,,,,,,,,,,
nk7164svjbt,Silver Chains,925 Sterling Silver Pendant<br>Blue Topaz Pendant<br>Topaz Total Carat Weight: 0.72<br>S1963975 #42,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,NK7164SVJBT,0.0,shopify,0,deny,manual,245.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7164SVJBT-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,73.00,active
nk7164svjbt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7164SVJBT-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk7164svjbt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7164SVJBT-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk7098svjbs,Silver Chains,Sterling Silver 925 Circle Of Love Pendant<br>Black Spinel Carat Weight: 0.11<br>S1976126 #40,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,NK7098SVJBS,0.0,shopify,0,deny,manual,395.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7098SVJBS-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,111.00,active
nk7098svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7098SVJBS-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk7098svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7098SVJBS-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk7076svjjj,Silver Chains,925 Sterling Silver Pendant<br>Paw Print Pendant Necklace<br>S193474 #36,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,NK7076SVJJJ,0.0,shopify,0,deny,manual,175.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7076SVJJJ-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,48.00,active
nk7076svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7076SVJJJ-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk7076svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK7076SVJJJ-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk6895svjws,Silver Chains,Sterling Silver 925 O Pendant<br>Style: Circle Of Love<br>White Sapphire Carat Weight: 0.06CT<br>S1941071 #34,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Statement",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,NK6895SVJWS,0.0,shopify,0,deny,manual,335.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6895SVJWS-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,97.00,active
nk6895svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6895SVJWS-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk6895svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6895SVJWS-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk6388svjjj,Silver Chains,925 Sterling Silver Pendant<br>Circle Of Life<br>S1958904 #29,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Metal Color,Silver,,,,,NK6388SVJJJ,0.0,shopify,0,deny,manual,190.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6388SVJJJ-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,50.00,active
nk6388svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6388SVJJJ-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk6388svjjj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6388SVJJJ-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk6378sv5jj,Silver Chains,925 Sterling Silver Diamond Charm<br>Diamond Cross<br>Diamond Total Carat Weight: 0.02<br>S1973369 #28,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated, Stackable",true,Material,Sterling Silver,,Stone Type,Natural Diamond,,Metal Color,Silver,,NK6378SV5JJ,0.0,shopify,0,deny,manual,165.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6378SV5JJ-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,48.00,active
nk6378sv5jj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6378SV5JJ-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk6378sv5jj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6378SV5JJ-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk6367svjbs,Silver Chains,925 Sterling Silver Pendant<br>Spinel Bujukan Bar<br>Spinel Total Carat Weight: 0.12<br>S1941047 #27,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,NK6367SVJBS,0.0,shopify,0,deny,manual,255.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6367SVJBS-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,76.00,active
nk6367svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6367SVJBS-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk6367svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6367SVJBS-4.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
nk6367svjbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK6367SVJBS-3.jpg,4,Silver Chains,,,,,,,,,,,,,,,,,,
nk5896svjws,Silver Chains,Sterling Silver 925 White Sapphire Bar Necklace<br>Sapphire Carat Weight: 0.31CT<br>S1976127 #26,Gabriel & Co,Apparel & Accessories > Jewelry > Necklaces,Necklaces,"Anniversary, Birthday, Category 600, Everyday, For Her, For Mom, Gift, Helios Migrated",true,Material,Sterling Silver,,Stone Type,Birthstone,,Metal Color,Silver,,NK5896SVJWS,0.0,shopify,0,deny,manual,390.00,,true,true,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK5896SVJWS-2.jpg,1,Silver Chains,false,Silver Chains,,509,Gabriel & Co.,,,,,,,,,,g,,123.00,active
nk5896svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK5896SVJWS-1.jpg,2,Silver Chains,,,,,,,,,,,,,,,,,,
nk5896svjws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/rishs-afk/JoharProductReview/main/shopify_upload/matched_images/NK5896SVJWS-3.jpg,3,Silver Chains,,,,,,,,,,,,,,,,,,
